,Path,Arousal,Valence,Transcript
0,/project/graziul/data/corpora/susas/speech/actual/roller/f1/free_oov_all/all1.sph,High,Negative,all
1,/project/graziul/data/corpora/susas/speech/actual/roller/f1/freefall/freeze1.sph,High,Negative,freeze
2,/project/graziul/data/corpora/susas/speech/actual/roller/f1/freefall/freeze2.sph,High,Negative,freeze
3,/project/graziul/data/corpora/susas/speech/actual/roller/f1/freefall/go1.sph,High,Negative,go
4,/project/graziul/data/corpora/susas/speech/actual/roller/f1/freefall/hello1.sph,High,Negative,hello
5,/project/graziul/data/corpora/susas/speech/actual/roller/f1/freefall/south1.sph,High,Negative,south
6,/project/graziul/data/corpora/susas/speech/actual/roller/f1/hist/break1.sph,High,Negative,break
7,/project/graziul/data/corpora/susas/speech/actual/roller/f1/hist/break2.sph,High,Negative,break
8,/project/graziul/data/corpora/susas/speech/actual/roller/f1/hist/change1.sph,High,Negative,change
9,/project/graziul/data/corpora/susas/speech/actual/roller/f1/hist/change2.sph,High,Negative,change
10,/project/graziul/data/corpora/susas/speech/actual/roller/f1/hist/change3.sph,High,Negative,change
11,/project/graziul/data/corpora/susas/speech/actual/roller/f1/hist/change4.sph,High,Negative,change
12,/project/graziul/data/corpora/susas/speech/actual/roller/f1/hist/change5.sph,High,Negative,change
13,/project/graziul/data/corpora/susas/speech/actual/roller/f1/hist/change6.sph,High,Negative,change
14,/project/graziul/data/corpora/susas/speech/actual/roller/f1/hist/degree1.sph,High,Negative,degree
15,/project/graziul/data/corpora/susas/speech/actual/roller/f1/hist/degree2.sph,High,Negative,degree
16,/project/graziul/data/corpora/susas/speech/actual/roller/f1/hist/degree3.sph,High,Negative,degree
17,/project/graziul/data/corpora/susas/speech/actual/roller/f1/hist/degree4.sph,High,Negative,degree
18,/project/graziul/data/corpora/susas/speech/actual/roller/f1/hist/degree5.sph,High,Negative,degree
19,/project/graziul/data/corpora/susas/speech/actual/roller/f1/hist/degree6.sph,High,Negative,degree
20,/project/graziul/data/corpora/susas/speech/actual/roller/f1/hist/destin1.sph,High,Negative,destin
21,/project/graziul/data/corpora/susas/speech/actual/roller/f1/hist/destin2.sph,High,Negative,destin
